L,a,b,L,c,h,X,Y,Z,sRGB R,sRGB G,sRGB B,HEX,spot con
46.6866385,3.7776807,0.358951641,46.6866385,3.794696,5.42789437,0.155990862,0.157815981,0.167661216,117,109,110,#756d6e,0
45.4193564,5.57554512,-1.09736443,45.4193564,5.68250931,348.865509,0.149814916,0.14843688,0.16428188,116,105,109,#74696d,20.035
45.2471194,5.61273955,-1.06293822,45.2471194,5.71250234,349.276346,0.148645443,0.147191603,0.162760123,116,104,109,#74686d,41.895
45.0606688,5.62888342,-1.03950257,45.0606688,5.72406273,349.536901,0.147346673,0.145851434,0.161186311,115,104,108,#73686c,64.0525
44.895809,5.6270947,-0.997923737,44.895809,5.7148969,349.943572,0.146178344,0.144673253,0.159708922,115,103,108,#73676c,84.5675
44.7392486,5.623464,-0.951102189,44.7392486,5.70332734,350.400352,0.145071421,0.143560274,0.158281327,115,103,108,#73676c,104.865
44.5764864,5.62791749,-0.890155847,44.5764864,5.69787966,351.012104,0.143939908,0.142409274,0.15675144,114,102,107,#72666b,125.6025
44.4089697,5.62633879,-0.847012155,44.4089697,5.68973793,351.438748,0.14277158,0.141231092,0.155274052,114,102,107,#72666b,147.5175
44.252129,5.61550638,-0.794284691,44.252129,5.67140195,351.949211,0.141668472,0.140133905,0.153844876,114,102,106,#72666a,168.7325
44.1010878,5.61164294,-0.729396759,44.1010878,5.6588476,352.594261,0.140622008,0.139082673,0.152415024,113,101,106,#71656a,188.2125
43.9384879,5.62390972,-0.695540639,43.9384879,5.66675721,352.949709,0.13952728,0.137956885,0.151042414,113,101,105,#716569,208.6825
43.7719706,5.60762204,-0.641589248,43.7719706,5.64420603,353.472955,0.138366583,0.136810287,0.149561864,112,100,105,#706469,231.45
43.6314178,5.58130331,-0.587506085,43.6314178,5.61213952,353.990989,0.137372167,0.135847434,0.148282966,112,100,104,#706468,254.725
43.4493676,5.59029237,-0.557681192,43.4493676,5.61804032,354.303087,0.136158445,0.134607032,0.146809189,112,100,104,#706468,276.5325
43.3045026,5.56294763,-0.495124484,43.3045026,5.58493819,354.91385,0.135144202,0.133625405,0.145478467,111,99,103,#6f6367,298.9925
43.1712675,5.55428709,-0.435311183,43.1712675,5.57131949,355.518666,0.134241321,0.132726808,0.144252074,111,99,103,#6f6367,318.26
43.0207609,5.55049499,-0.392257304,43.0207609,5.56433827,355.957589,0.133235457,0.13171658,0.142977918,111,99,102,#6f6366,334.92
42.8924601,5.53167414,-0.357511017,42.8924601,5.54321503,356.302128,0.132358111,0.130859459,0.141905864,110,98,102,#6e6266,351.7475
42.7630772,5.51436432,-0.310815557,42.7630772,5.52311689,356.773953,0.13147982,0.129998883,0.140781761,110,98,102,#6e6266,367.3725
42.6288647,5.51089862,-0.284361341,42.6288647,5.51823024,357.046168,0.130594843,0.12911018,0.139712869,110,98,101,#6e6265,384.015
42.5133332,5.50493586,-0.235934657,42.5133332,5.50998947,357.545877,0.129831729,0.128348426,0.138691513,109,97,101,#6d6165,399.94
42.407889,5.48492174,-0.193433465,42.407889,5.48833153,357.980221,0.129115902,0.127655803,0.137770643,109,97,101,#6d6165,413.3925
42.2930663,5.47394348,-0.179746912,42.2930663,5.47689384,358.119264,0.128355628,0.126904416,0.136905433,109,97,100,#6d6164,423.6275
42.1609271,5.46667152,-0.131581574,42.1609271,5.46825486,358.62117,0.127492401,0.126043367,0.135782687,109,97,100,#6d6164,434.42
42.1083685,5.44381984,-0.095185799,42.1083685,5.44465194,358.998279,0.127120384,0.125701969,0.135268057,108,96,100,#6c6064,448.4875
42.0118427,5.45104272,-0.05981138,42.0118427,5.45137085,359.371349,0.126512104,0.125076585,0.134453096,108,96,99,#6c6063,462.885
41.9210385,5.42854795,-0.038556195,41.9210385,5.42868487,359.593064,0.125898283,0.124490168,0.133737714,108,96,99,#6c6063,475.0025
41.8119647,5.42322711,-0.02355613,41.8119647,5.42327827,359.751134,0.125195597,0.123788192,0.132923877,108,96,99,#6c6063,486.7525
41.7408142,5.40685373,0.007627905,41.7408142,5.40685911,0.080831945,0.124719651,0.123331707,0.132309437,108,96,99,#6c6063,500.0425
41.6484644,5.40695346,0.040558292,41.6484644,5.40710558,0.42977536,0.124135014,0.122740889,0.131544719,107,95,98,#6b5f62,512.9325
41.5822593,5.39387765,0.068315421,41.5822593,5.39431025,0.725633075,0.123697776,0.122318496,0.130981877,107,95,98,#6b5f62,522.725
41.4978693,5.37694506,0.090749273,41.4978693,5.37771082,0.966916466,0.123141544,0.121781491,0.130317869,107,95,98,#6b5f62,530.0075
41.4239915,5.36676568,0.105652906,41.4239915,5.36780555,1.12780846,0.122662728,0.12131267,0.129757058,107,95,98,#6b5f62,536.2375
41.3625833,5.3676617,0.129492622,41.3625833,5.36922346,1.38196896,0.122279263,0.120923897,0.129247171,107,95,97,#6b5f61,543.1475
41.2696319,5.35531007,0.151455357,41.2696319,5.35745133,1.61996974,0.121680507,0.120337008,0.128533145,106,94,97,#6a5e61,552.2325
41.2473667,5.35402412,0.178842401,41.2473667,5.35701026,1.91316026,0.121539793,0.120196709,0.128276058,106,94,97,#6a5e61,561.175
41.1624592,5.34592327,0.18902533,41.1624592,5.34926408,2.02506526,0.120999572,0.119662686,0.127665454,106,94,97,#6a5e61,568.64
